Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
8,Antigua and Barbuda,394,"Pumpkins, squash and gourds",5510,Production,tonnes,290,F,307,Im,330,F,370,F,400,F,377,Im,372,Im,367,Im,362,Im,357,Im,352,Im,346,Im,330,F,371,Im,377,Im
8,Antigua and Barbuda,328,Seed cotton,5312,Area harvested,ha,600,F,600,F,650,F,700,F,700,F,700,F,700,F,700,F,700,F,700,F,700,F,700,F,560,F,565,F,570,F
8,Antigua and Barbuda,328,Seed cotton,5419,Yield,hg/ha,1333,Fc,1417,Fc,1385,Fc,1357,Fc,1357,Fc,1357,Fc,1357,Fc,1357,Fc,1357,Fc,1357,Fc,1357,Fc,1357,Fc,1786,Fc,1858,Fc,1930,Fc
8,Antigua and Barbuda,328,Seed cotton,5510,Production,tonnes,80,F,85,F,90,F,95,F,95,F,95,F,95,F,95,F,95,F,95,F,95,F,95,F,100,F,105,F,110,F
8,Antigua and Barbuda,156,Sugar cane,5312,Area harvested,ha,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
8,Antigua and Barbuda,156,Sugar cane,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,156,Sugar cane,5510,Production,tonnes,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
8,Antigua and Barbuda,122,Sweet potatoes,5312,Area harvested,ha,25,F,24,Im,28,F,30,F,35,F,38,Im,40,F,43,Im,45,F,44,Im,43,Im,42,Im,40,F,41,Im,42,Im
8,Antigua and Barbuda,122,Sweet potatoes,5419,Yield,hg/ha,59479,Fc,59393,Fc,58929,Fc,58333,Fc,57143,Fc,59918,Fc,62500,Fc,61438,Fc,62222,Fc,62273,Fc,62725,Fc,63192,Fc,65000,Fc,64174,Fc,64050,Fc
8,Antigua and Barbuda,122,Sweet potatoes,5510,Production,tonnes,149,Im,145,F,165,F,175,F,200,F,225,Im,250,F,262,Im,280,F,272,Im,269,Im,265,Im,260,F,266,Im,272,Im
8,Antigua and Barbuda,136,Taro (cocoyam),5312,Area harvested,ha,8,F,8,F,9,F,10,F,12,F,12,F,11,Im,11,Im,11,Im,11,Im,11,Im,11,Im,10,F,11,Im,11,Im
8,Antigua and Barbuda,136,Taro (cocoyam),5419,Yield,hg/ha,37256,Fc,37500,Fc,37778,Fc,37000,Fc,37500,Fc,37769,Fc,37959,Fc,38263,Fc,38395,Fc,38583,Fc,38767,Fc,38950,Fc,40000,Fc,39297,Fc,39283,Fc
8,Antigua and Barbuda,136,Taro (cocoyam),5510,Production,tonnes,30,Im,30,F,34,F,37,F,45,F,45,Im,44,Im,43,Im,42,Im,42,Im,41,Im,41,Im,40,F,42,Im,43,Im
8,Antigua and Barbuda,388,Tomatoes,5312,Area harvested,ha,30,F,32,F,35,F,38,F,40,F,41,Im,42,Im,45,F,45,Im,45,Im,46,Im,46,Im,45,F,47,Im,51,Im
8,Antigua and Barbuda,388,Tomatoes,5419,Yield,hg/ha,90000,Fc,90625,Fc,88571,Fc,86842,Fc,87500,Fc,89150,Fc,89468,Fc,87778,Fc,90794,Fc,92104,Fc,93409,Fc,94749,Fc,100000,Fc,97186,Fc,96125,Fc
8,Antigua and Barbuda,388,Tomatoes,5510,Production,tonnes,270,F,290,F,310,F,330,F,350,F,364,Im,380,Im,395,F,407,Im,418,Im,429,Im,440,Im,450,F,460,Im,492,Im
8,Antigua and Barbuda,463,"Vegetables, fresh nes",5312,Area harvested,ha,40,F,41,Im,45,F,48,F,50,F,47,Im,49,Im,51,Im,52,Im,55,Im,57,Im,60,Im,48,F,66,Im,69,Im
